timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1737042783364,13523,Get List of Containers,200,,Http URL/API Test 1-30,text,true,,3575,1296,10,10,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/containers?pageNumber=1&pageSize=8&sortKey=createdTime&sortDirection=DESC,13523,0,0
1737042796663,328,Search Rule,200,,Http URL/API Test 1-40,text,true,,25952,1094,9,9,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/userrules?sortKey=createdTime&keyType=SERVER_ATTRIBUTE&sortDirection=DESC&pageNumber=3&pageSize=16,326,0,0
1737042778312,20422,Get the List of Alerts,200,,Http URL/API Test 1-8,text,true,,6609,1332,9,9,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alerts?lang=en&pageNumber=3&pageSize=8&sortKey=createdTime&sortDirection=DESC&timeZone=Asia%2FRiyadh,20422,0,0
1737042780555,18504,Search Devices for List For Map,200,,Http URL/API Test 1-48,text,true,,5369,1100,8,8,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/devices/map/list?pageSize=16&pageNumber=1&sortKey=status&sortDirection=DESC,18504,0,0
1737042776678,24061,Get the List of Alerts For Map,200,,Http URL/API Test 1-18,text,true,,457,1364,8,8,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alerts?lang=en&pageNumber=3&pageSize=16&sortKey=createdTime&sortDirection=DESC,24061,0,0
1737042783638,17406,Search Containers for List For Map,200,,Http URL/API Test 1-43,text,true,,509,1102,7,7,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/containers/map/list?pageSize=16&pageNumber=5&sortKey=messageTime&sortDirection=DESC,17406,0,0
1737042787718,15215,Search Containers for List For Map,200,,Http URL/API Test 1-13,text,true,,1903,1101,6,6,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/containers/map/list?pageSize=8&pageNumber=3&sortKey=messageTime&sortDirection=DESC,15215,0,0
1737042802933,481,Get List of Regions,200,,Http URL/API Test 1-13,text,true,,3586,1104,6,6,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/level/region?lang=en&pageNumber=4&pageSize=8&sortKey=createdTime&sortDirection=DESC&keyType=SERVER_ATTRIBUTE,481,0,0
1737042793888,9834,Search Devices for List For Map,200,,Http URL/API Test 1-5,text,true,,2895,1099,6,6,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/devices/map/list?pageSize=8&pageNumber=3&sortKey=status&sortDirection=DESC,9834,0,0
1737042803414,492,Get list of Tasks,200,,Http URL/API Test 1-13,text,true,,3524,1147,5,5,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/tasks?pageNumber=1&pageSize=8,492,0,0
1737042791423,12739,Get the List of Alerts,200,,Http URL/API Test 1-15,text,true,,7081,1294,4,4,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alerts?lang=en&pageNumber=2&pageSize=8&sortKey=createdTime&sortDirection=DESC&timeZone=Asia%2FRiyadh,12739,0,0
1737042799059,5401,Get List of Containers,200,,Http URL/API Test 1-48,text,true,,6468,1335,4,4,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/containers?pageNumber=1&pageSize=16&sortKey=createdTime&sortDirection=DESC,5401,0,165
1737042804163,455,Get List of Cities,200,,Http URL/API Test 1-15,text,true,,7146,1102,3,3,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/level/city?lang=en&pageNumber=2&pageSize=8&sortKey=createdTime&sortDirection=DESC&keyType=SERVER_ATTRIBUTE,455,0,0
1737042795924,9220,Search Containers for List For Map,200,,Http URL/API Test 1-50,text,true,,3299,1101,3,3,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/containers/map/list?pageSize=8&pageNumber=1&sortKey=messageTime&sortDirection=DESC,9220,0,0
